	S3_RG	S3_SG	logFC	logCPM	PValue	FDR
TRINITY_DN9369_c9_g1	2.5610000000000004	3.0039999999999996	-0.18228245963898498	2.78638137799411	0.845764187417706	1.0
TRINITY_DN8669_c5_g3	12.720999999999998	11.467	0.150216227018496	2.78572981763996	0.845764187417706	1.0
TRINITY_DN7217_c0_g1	13.359000000000002	10.158	0.150216227018496	2.78572981763996	0.845764187417706	1.0
TRINITY_DN7412_c0_g2	24.218000000000004	27.184	-0.1315113856582	5.8112046456978605	0.8457711024721719	1.0
TRINITY_DN6931_c0_g3	11.713	11.064	0.134071262614771	5.43379838358551	0.8460909614481321	1.0
TRINITY_DN8268_c1_g1	50.226000000000006	48.451	0.12891107586303302	6.725145064469769	0.8461070410008	1.0
TRINITY_DN6980_c2_g1	18.315	21.455	0.130902565890231	4.98208690498581	0.846117991533577	1.0
TRINITY_DN9228_c6_g1	148.91899999999998	194.592	-0.128564880178651	7.2231640874621705	0.846145581256327	1.0
TRINITY_DN7785_c2_g1	10.459000000000001	15.045	0.142845079509632	3.0642639289216502	0.8461608935259392	1.0
TRINITY_DN7443_c2_g2	23.488000000000003	20.845	0.142845079509632	3.0642639289216502	0.8461608935259392	1.0
TRINITY_DN8938_c2_g1	18.305	20.774	-0.128350253199334	6.39232947585343	0.846163864442302	1.0
TRINITY_DN8908_c7_g1	26.635	24.934	0.12994317067882802	5.047611706162541	0.8461864656200341	1.0
TRINITY_DN8981_c7_g2	506.227	402.355	0.132496563386844	5.5286409481386505	0.8461902650046159	1.0
TRINITY_DN7057_c2_g1	22.974	21.975	0.131111251027666	5.61763133746477	0.8462776766700659	1.0
TRINITY_DN7104_c1_g2	146.708	165.418	-0.127380307838112	8.45722885292604	0.8463390835528709	1.0
TRINITY_DN6794_c0_g3	12.855	14.542	-0.137965028963192	4.5193185920649	0.846357471003567	1.0
TRINITY_DN6337_c0_g5	12.752	14.264000000000001	-0.137965028963192	4.5193185920649	0.846357471003567	1.0
TRINITY_DN8783_c6_g1	10.664000000000001	10.131	0.130891871652186	6.418801258434	0.846415295114433	1.0
TRINITY_DN9584_c4_g1	20.29	22.621	-0.169821815098335	3.29828916325724	0.8464235220964821	1.0
TRINITY_DN6660_c1_g4	5.7379999999999995	6.518	-0.138186209295701	4.6089102315813	0.8464371699528102	1.0
TRINITY_DN5997_c2_g1	8.772	8.283999999999999	0.135393194861919	5.3368461045057005	0.8464538047818729	1.0
TRINITY_DN6643_c1_g2	6.457999999999999	5.997999999999999	0.14972259779994299	3.50653716794517	0.8466093315390709	1.0
TRINITY_DN8246_c2_g1	12.742	9.835	0.14972259779994299	3.50653716794517	0.8466093315390709	1.0
TRINITY_DN7508_c2_g3	25.997	31.101999999999997	-0.132711458982322	5.622073176668941	0.8466688840346691	1.0
TRINITY_DN8883_c3_g1	18.84	20.397000000000002	-0.13456248857848	3.8323488048938597	0.846853600186103	1.0
TRINITY_DN6201_c2_g1	11.292	10.597999999999999	0.144267410585279	4.2206127363834	0.847062849763502	1.0
TRINITY_DN5565_c0_g1	4.967	4.33	0.144267410585279	4.2206127363834	0.847062849763502	1.0
TRINITY_DN8166_c1_g1	58.751000000000005	55.211000000000006	0.12921773045215	6.4973742272559205	0.847116563646565	1.0
TRINITY_DN9522_c4_g1	25.236	26.951	0.130732612846409	5.82682961136868	0.8471356139823409	1.0
TRINITY_DN6890_c0_g1	64.613	79.84899999999999	-0.128022207166194	6.83157544960939	0.8472269044389109	1.0
TRINITY_DN9559_c7_g1	23.149	26.125999999999998	-0.1315036054738	5.54125687626189	0.847431784299538	1.0
TRINITY_DN7560_c3_g1	15.693	21.787	-0.12908917983839302	6.069028527123179	0.847501146847826	1.0
TRINITY_DN5970_c1_g1	1.8	2.188	-0.24884801353084304	1.38900673684441	0.8475404414322808	1.0
TRINITY_DN7563_c1_g2	5.07	4.447	0.216921577435328	1.38841148244769	0.8475404414322808	1.0
TRINITY_DN7822_c3_g2	1.676	1.515	0.216921577435328	1.38841148244769	0.8475404414322808	1.0
TRINITY_DN9438_c1_g1	34.173	45.653999999999996	-0.132088382450534	5.6753413623851	0.847825890902264	1.0
TRINITY_DN7231_c0_g1	375.325	353.546	0.12574352037880301	9.167138762610971	0.847947556982605	1.0
TRINITY_DN7904_c2_g1	5.358	6.124	-0.13741122210540402	4.786371174093559	0.8479563810741501	1.0
TRINITY_DN8461_c2_g1	100.904	95.25200000000001	0.126512196323704	7.721223754447959	0.8479792161106031	1.0
TRINITY_DN8037_c5_g1	8.525	7.468	0.13504548576550698	4.62325652355613	0.847987388936905	1.0
TRINITY_DN7507_c4_g1	152.981	89.21799999999999	0.12711853233603998	6.87549691066844	0.848056238641706	1.0
TRINITY_DN9568_c2_g1	63.646	55.86600000000001	0.14316032314096802	4.2304628772570405	0.8480720143137491	1.0
TRINITY_DN7004_c1_g1	16.629	15.052999999999999	0.146062607984737	4.11293650762305	0.8480998431345259	1.0
TRINITY_DN7294_c1_g1	14.161	11.485	0.146062607984737	4.11293650762305	0.8480998431345259	1.0
TRINITY_DN9154_c4_g1	18.171	16.569000000000003	0.15367898978136302	3.8445609285738502	0.848166971371627	1.0
TRINITY_DN6324_c2_g5	6.109	6.912999999999999	-0.13349019787558197	3.84522807749647	0.848166971371627	1.0
TRINITY_DN8820_c6_g3	24.403000000000002	21.866999999999997	0.158813930847388	3.68898625388353	0.848207540615769	1.0
