	gall_1	non_1	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN1257_c0_g1	9	0	gall	non	6.534859668529349	0.7885674142850091	0.00614930629923133	0.0343637069238416
TRINITY_DN69706_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN50036_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN10451_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN33177_c0_g1	1	4	gall	non	-1.28844377366544	0.180293552317445	0.658385093167702	0.749138336283894
TRINITY_DN22732_c0_g1	31	0	gall	non	8.30804652984826	2.31161399716027	4.27844093612288e-06	0.000108486113593221
TRINITY_DN24174_c1_g1	5	23	gall	non	-1.5528084624219498	1.9700688621276599	0.148529576267714	0.233258998201437
TRINITY_DN20832_c0_g2	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN22806_c0_g2	0	5	gall	non	-5.084106431642	0.16762953952925302	0.161490683229814	0.24349958529298102
TRINITY_DN24736_c0_g1	115	49	gall	non	1.85782904417286	4.56675370187984	0.0103131596525584	0.0557226061975189
TRINITY_DN5570_c0_g1	9	0	gall	non	6.534859668529349	0.7885674142850091	0.00614930629923133	0.0343637069238416
TRINITY_DN17445_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN16133_c0_g1	25	0	gall	non	7.998798478506299	2.02090611198256	2.24823545641969e-05	0.000433518149228484
TRINITY_DN19664_c0_g2	4	5	gall	non	0.300147239320931	0.7286080023024429	1.0	1.0
TRINITY_DN24319_c0_g1	14	74	gall	non	-1.76469710294251	3.4451945883208297	0.0275261467131459	0.10484533864852698
TRINITY_DN63438_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN38596_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN22843_c0_g1	8	23	gall	non	-0.88518690101165	2.1167182280761296	0.34320847740231397	0.43881941195711
TRINITY_DN37732_c0_g1	17	8	gall	non	1.6989165320186999	1.94677423648197	0.0694192994524174	0.154727494458257
TRINITY_DN62135_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN17249_c0_g1	9	0	gall	non	6.534859668529349	0.7885674142850091	0.00614930629923133	0.0343637069238416
TRINITY_DN19592_c0_g2	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN23932_c0_g1	46	0	gall	non	8.87592705988956	2.8624425430841405	2.22884626458782e-07	9.48736608769733e-06
TRINITY_DN53408_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN22703_c0_g1	5	8	gall	non	-0.04688369274588	1.10895937566625	1.0	1.0
TRINITY_DN25265_c0_g5	92	0	gall	non	9.87439083264244	3.86111360541219	5.92055267264539e-10	6.42511308300701e-08
TRINITY_DN30676_c0_g1	1	4	gall	non	-1.28844377366544	0.180293552317445	0.658385093167702	0.749138336283894
TRINITY_DN8659_c0_g1	4	3	gall	non	1.00903383728481	0.49749732468050106	0.5217391304347829	0.621804315233688
TRINITY_DN35161_c0_g1	2	4	gall	non	-0.354383061312055	0.340112650113992	1.0	1.0
TRINITY_DN1698_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN25977_c4_g2	9	10	gall	non	0.47217704253616294	1.56166616573235	0.745854585473486	0.833952396592603
TRINITY_DN44634_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN24274_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN20461_c1_g1	21	8	gall	non	2.00219325795155	2.15075303643375	0.0281231456187105	0.105432088531521
TRINITY_DN50691_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN18409_c0_g1	0	5	gall	non	-5.084106431642	0.16762953952925302	0.161490683229814	0.24349958529298102
TRINITY_DN25843_c0_g2	71	0	gall	non	9.50103054355235	3.4850146152660098	5.80017778437832e-09	4.2300058029788397e-07
TRINITY_DN25927_c2_g9	32	58	gall	non	-0.22705371953214604	3.56127596644129	0.7834182631632759	0.8641925590217758
TRINITY_DN19259_c0_g1	4	4	gall	non	0.611481564845604	0.6179820414760121	0.7697262479871179	0.849796378849567
TRINITY_DN25364_c0_g1	29	21	gall	non	1.09042341991455	2.84089081276706	0.19134448622015698	0.279283021727902
TRINITY_DN4193_c0_g1	1	7	gall	non	-2.07300173487084	0.581908530924166	0.18695652173913002	0.274745238875432
TRINITY_DN4444_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN25519_c1_g5	29	0	gall	non	8.21214511224932	2.22064186743985	7.72045524458559e-06	0.000180108081740343
TRINITY_DN38049_c0_g1	4	1	gall	non	2.46125698779542	0.218723694277246	0.282608695652174	0.37124993432459397
TRINITY_DN11555_c0_g1	0	17	gall	non	-6.81930249310797	1.34654526391581	0.0019960449882585603	0.0160394850876062
TRINITY_DN25446_c0_g8	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN24083_c1_g1	13	14	gall	non	0.518649520823593	1.998275834217	0.619280527630828	0.71837083422996
TRINITY_DN67933_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN24738_c0_g2	6	12	gall	non	-0.364459421107273	1.4712371948525802	0.8662392555123609	0.9332455650717131
TRINITY_DN24787_c0_g2	13	20	gall	non	0.00872876744975364	2.23247441407269	1.0	1.0
TRINITY_DN37738_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN9541_c0_g1	2	4	gall	non	-0.354383061312055	0.340112650113992	1.0	1.0
TRINITY_DN25938_c1_g6	6	30	gall	non	-1.67552793763048	2.2800684433544203	0.0915827128698329	0.154727494458257
TRINITY_DN49976_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
