	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN10049_c0_g1	SMP_1	SMP_2	-0.915600418	1.107069874	0.24777778	1
TRINITY_DN10049_c0_g2	SMP_1	SMP_2	-1.257078737	3.207017551	0.073559272	0.635343563
TRINITY_DN10050_c0_g1	SMP_1	SMP_2	1.629145882	2.146160115	0.033099203	0.39653738
TRINITY_DN10051_c1_g1	SMP_1	SMP_2	-0.051607482	3.996189286	0.949555086	1
TRINITY_DN10052_c0_g1	SMP_1	SMP_2	0.039794017	5.476236069	0.954453023	1
TRINITY_DN10053_c1_g1	SMP_1	SMP_2	0.039301418	9.787917485	0.952210218	1
TRINITY_DN10053_c2_g1	SMP_1	SMP_2	-0.488954648	3.411841737	0.477835321	1
TRINITY_DN10053_c2_g2	SMP_1	SMP_2	-0.161695154	3.934504332	0.817357286	1
TRINITY_DN10053_c2_g3	SMP_1	SMP_2	-0.944660839	1.63873901	0.236840649	1
TRINITY_DN10053_c2_g4	SMP_1	SMP_2	3.931237788	0.069292976	0.005837072	0.108609259
TRINITY_DN10053_c2_g5	SMP_1	SMP_2	-0.522323844	7.192977078	0.427113849	1
TRINITY_DN10053_c2_g6	SMP_1	SMP_2	-0.576519462	5.369886415	0.385413596	1
TRINITY_DN10053_c2_g7	SMP_1	SMP_2	-0.670997892	6.509592699	0.309413193	1
TRINITY_DN10053_c2_g8	SMP_1	SMP_2	-0.278202767	2.376744773	0.705811024	1
TRINITY_DN10053_c4_g1	SMP_1	SMP_2	-0.624706527	6.144945617	0.344923425	1
TRINITY_DN10054_c0_g2	SMP_1	SMP_2	-0.151082941	3.452795817	0.842889238	1
TRINITY_DN10055_c0_g1	SMP_1	SMP_2	0.426309546	2.276274199	0.587117378	1
TRINITY_DN10056_c1_g1	SMP_1	SMP_2	-0.844644138	6.746129626	0.201309151	0.961338057
TRINITY_DN10056_c1_g3	SMP_1	SMP_2	1.27956342	1.288640301	0.119106695	0.79967488
TRINITY_DN10057_c0_g1	SMP_1	SMP_2	0.081185725	5.815284634	0.903995844	1
TRINITY_DN10058_c0_g1	SMP_1	SMP_2	0.664022244	6.254580411	0.314255055	1
TRINITY_DN10059_c0_g1	SMP_1	SMP_2	0.973779096	2.287759545	0.188974096	0.939221858
TRINITY_DN10059_c0_g2	SMP_1	SMP_2	1.04939321	2.563083652	0.141994987	0.851989125
TRINITY_DN10060_c2_g1	SMP_1	SMP_2	-0.607705318	6.157884804	0.358396144	1
TRINITY_DN10060_c2_g2	SMP_1	SMP_2	0.182796627	3.437155997	0.792617032	1
TRINITY_DN10060_c2_g3	SMP_1	SMP_2	1.243852035	0.370540895	0.232646354	1
TRINITY_DN10060_c2_g4	SMP_1	SMP_2	1.012211956	0.795605617	0.232557797	1
TRINITY_DN10060_c3_g2	SMP_1	SMP_2	0.878837453	1.283471198	0.293827715	1
TRINITY_DN10060_c3_g3	SMP_1	SMP_2	0.063134326	1.386410679	0.951982989	1
TRINITY_DN10061_c0_g1	SMP_1	SMP_2	-0.37001102	4.277587186	0.58912969	1
TRINITY_DN10062_c0_g1	SMP_1	SMP_2	1.459688234	0.09938929	0.148529576	0.852016367
TRINITY_DN10062_c1_g1	SMP_1	SMP_2	0.775060207	3.409385952	0.268608696	1
TRINITY_DN10062_c1_g3	SMP_1	SMP_2	0.843611338	3.673696263	0.215917223	0.985476863
TRINITY_DN10063_c0_g1	SMP_1	SMP_2	2.45096885	1.843219076	0.003019333	0.064263975
TRINITY_DN10064_c0_g1	SMP_1	SMP_2	-0.411316865	2.650057895	0.562991032	1
TRINITY_DN10065_c0_g1	SMP_1	SMP_2	0.408737974	4.455008929	0.545757819	1
TRINITY_DN10066_c0_g2	SMP_1	SMP_2	-0.600720732	2.532203449	0.406535896	1
TRINITY_DN10067_c0_g1	SMP_1	SMP_2	-0.118477341	5.520275372	0.859130362	1
TRINITY_DN10068_c0_g1	SMP_1	SMP_2	0.532277804	3.173211082	0.456206643	1
TRINITY_DN10069_c0_g1	SMP_1	SMP_2	0.335527067	4.4485876	0.619416562	1
TRINITY_DN10070_c0_g1	SMP_1	SMP_2	-0.356165057	6.972372715	0.588162986	1
TRINITY_DN10071_c0_g1	SMP_1	SMP_2	-0.622850345	2.503978682	0.400332076	1
TRINITY_DN10072_c1_g1	SMP_1	SMP_2	-0.141448779	3.701810974	0.847150899	1
TRINITY_DN10073_c1_g1	SMP_1	SMP_2	-1.060142597	2.471789911	0.142468854	0.852016367
TRINITY_DN10074_c0_g1	SMP_1	SMP_2	0.15410373	3.031477278	0.838472866	1
TRINITY_DN10075_c1_g1	SMP_1	SMP_2	-0.015677209	3.224909514	0.985780153	1
TRINITY_DN10075_c1_g2	SMP_1	SMP_2	0.257675246	5.154289108	0.699301707	1
TRINITY_DN10076_c0_g1	SMP_1	SMP_2	-0.380530761	4.266850889	0.574039038	1
TRINITY_DN10077_c0_g1	SMP_1	SMP_2	-0.433564641	5.006502791	0.515508092	1
TRINITY_DN10078_c0_g1	SMP_1	SMP_2	-0.013689879	4.006832029	0.991647318	1
TRINITY_DN10079_c0_g1	SMP_1	SMP_2	-0.519694295	1.479657281	0.496369118	1
TRINITY_DN10080_c0_g1	SMP_1	SMP_2	0.184528522	3.514922532	0.803402147	1
TRINITY_DN10081_c0_g1	SMP_1	SMP_2	-0.503610668	3.696259622	0.467666376	1
TRINITY_DN10082_c0_g1	SMP_1	SMP_2	0.688272372	2.750117361	0.34211991	1
TRINITY_DN10083_c0_g1	SMP_1	SMP_2	-0.55288533	2.844854585	0.432293576	1
TRINITY_DN10083_c0_g3	SMP_1	SMP_2	0.285327777	2.662377189	0.695707318	1
TRINITY_DN10084_c0_g1	SMP_1	SMP_2	0.809477008	2.876835897	0.248731901	1
TRINITY_DN10085_c0_g1	SMP_1	SMP_2	-0.498261689	2.370025847	0.486983347	1
TRINITY_DN10086_c0_g1	SMP_1	SMP_2	0.564672769	4.857035671	0.399148039	1
TRINITY_DN10087_c0_g1	SMP_1	SMP_2	1.27071122	2.939207438	0.077056122	0.652115296
TRINITY_DN10088_c0_g1	SMP_1	SMP_2	0.366461011	4.106811877	0.589499249	1
TRINITY_DN10089_c0_g1	SMP_1	SMP_2	0.043924046	2.278337031	0.973234263	1
TRINITY_DN10090_c0_g1	SMP_1	SMP_2	0.672515725	1.619931484	0.398231608	1
TRINITY_DN10090_c1_g1	SMP_1	SMP_2	0.473541913	5.08264468	0.478283357	1
TRINITY_DN10091_c0_g1	SMP_1	SMP_2	-0.794391779	6.307118442	0.2294516	0.998237549
TRINITY_DN10092_c0_g2	SMP_1	SMP_2	5.782829583	1.661857769	1.10E-06	0.000117871
TRINITY_DN10093_c0_g1	SMP_1	SMP_2	-0.444888222	5.844622689	0.50024474	1
TRINITY_DN10094_c0_g1	SMP_1	SMP_2	-0.528298744	5.047483727	0.43044848	1
TRINITY_DN10095_c0_g1	SMP_1	SMP_2	-0.199313377	2.504355043	0.795742021	1
TRINITY_DN10096_c0_g1	SMP_1	SMP_2	0.276002692	4.150774465	0.682901265	1
TRINITY_DN10097_c0_g1	SMP_1	SMP_2	-0.290467041	3.064410389	0.691147057	1
TRINITY_DN10098_c0_g1	SMP_1	SMP_2	0.383792727	4.015647733	0.573015456	1
TRINITY_DN10099_c0_g1	SMP_1	SMP_2	-0.137932658	2.071287509	0.877428938	1
TRINITY_DN10100_c0_g1	SMP_1	SMP_2	0.564813854	5.390227243	0.39537819	1
TRINITY_DN10101_c0_g1	SMP_1	SMP_2	0.44662762	3.371915956	0.527198402	1
TRINITY_DN10101_c0_g2	SMP_1	SMP_2	-1.284748812	0.983964822	0.130208683	0.813008588
TRINITY_DN10101_c0_g3	SMP_1	SMP_2	-1.237853807	2.396452196	0.091029141	0.707809373
TRINITY_DN10101_c0_g4	SMP_1	SMP_2	0.27420788	2.019275058	0.748978236	1
TRINITY_DN10101_c0_g5	SMP_1	SMP_2	-0.626580498	1.727326696	0.407584644	1
TRINITY_DN10102_c0_g1	SMP_1	SMP_2	-0.084148122	4.701914894	0.901756967	1
TRINITY_DN10103_c0_g1	SMP_1	SMP_2	-0.482161569	3.86305067	0.479976632	1
TRINITY_DN10104_c0_g1	SMP_1	SMP_2	0.088237973	1.91972201	0.965974098	1
TRINITY_DN10105_c0_g1	SMP_1	SMP_2	-0.817296502	6.31197741	0.216446892	0.986362032
TRINITY_DN10106_c0_g1	SMP_1	SMP_2	-0.320773244	5.351934467	0.629436362	1
TRINITY_DN10107_c0_g1	SMP_1	SMP_2	-0.533767567	6.017092385	0.418605528	1
TRINITY_DN10108_c0_g1	SMP_1	SMP_2	0.011602332	5.649807003	0.989215177	1
TRINITY_DN10109_c0_g1	SMP_1	SMP_2	0.304669953	1.755530164	0.701882287	1
TRINITY_DN10110_c0_g1	SMP_1	SMP_2	0.211027814	2.858602821	0.766716029	1
TRINITY_DN10111_c0_g1	SMP_1	SMP_2	-0.176221712	4.957987783	0.793590102	1
TRINITY_DN10112_c0_g1	SMP_1	SMP_2	-0.06282228	5.117881784	0.926191463	1
TRINITY_DN10113_c0_g1	SMP_1	SMP_2	0.455069778	2.849160383	0.531947226	1
TRINITY_DN10113_c0_g2	SMP_1	SMP_2	0.09077209	3.33500761	0.908083613	1
TRINITY_DN10113_c0_g3	SMP_1	SMP_2	0.1514724	3.459409187	0.831539672	1
TRINITY_DN10114_c0_g1	SMP_1	SMP_2	1.013281753	1.654108303	0.186153175	0.934311426
TRINITY_DN10115_c0_g1	SMP_1	SMP_2	0.633933084	1.705502381	0.396923214	1
TRINITY_DN10115_c1_g1	SMP_1	SMP_2	-0.268477366	4.353332685	0.697947112	1
TRINITY_DN10115_c1_g2	SMP_1	SMP_2	-0.038594379	2.949367253	0.982875321	1
