	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN12144_c0_g2	SMP_1	SMP_2	-1.06937474	3.748891752	0.119399886	0.79967488
TRINITY_DN12145_c0_g1	SMP_1	SMP_2	0.418963933	0.65688171	0.700162868	1
TRINITY_DN12145_c1_g1	SMP_1	SMP_2	-0.103986671	8.740679234	0.873967015	1
TRINITY_DN12146_c0_g1	SMP_1	SMP_2	0.573222897	2.600316423	0.424510186	1
TRINITY_DN12147_c0_g1	SMP_1	SMP_2	0.205567461	2.642030163	0.790882636	1
TRINITY_DN12147_c0_g2	SMP_1	SMP_2	3.571462895	1.976849482	6.05E-05	0.003077463
TRINITY_DN12147_c0_g3	SMP_1	SMP_2	3.914174727	1.370406926	7.67E-05	0.003622906
TRINITY_DN12148_c0_g1	SMP_1	SMP_2	0.02532924	4.658472321	0.973305132	1
TRINITY_DN12149_c1_g1	SMP_1	SMP_2	-0.372484005	6.821027076	0.571416199	1
TRINITY_DN12149_c2_g1	SMP_1	SMP_2	-0.074382183	4.961721318	0.913461077	1
TRINITY_DN12149_c2_g2	SMP_1	SMP_2	0.156460649	5.79226498	0.813422817	1
TRINITY_DN12150_c0_g1	SMP_1	SMP_2	0.37913433	2.890914852	0.606250708	1
TRINITY_DN12150_c0_g2	SMP_1	SMP_2	-0.948613111	4.626934052	0.159994973	0.886482426
TRINITY_DN12150_c0_g3	SMP_1	SMP_2	0.232224258	6.169514995	0.726400079	1
TRINITY_DN12151_c0_g1	SMP_1	SMP_2	-0.022474804	4.79090029	0.980503784	1
TRINITY_DN12152_c1_g1	SMP_1	SMP_2	-0.427004812	6.925499235	0.516336044	1
TRINITY_DN12152_c1_g2	SMP_1	SMP_2	0.754223452	0.94900907	0.373173637	1
TRINITY_DN12152_c1_g3	SMP_1	SMP_2	0.875709115	1.024099396	0.308509378	1
TRINITY_DN12152_c1_g4	SMP_1	SMP_2	-0.161122961	4.704174651	0.810475441	1
TRINITY_DN12152_c1_g5	SMP_1	SMP_2	-0.040829864	4.337148541	0.953473785	1
TRINITY_DN12152_c1_g9	SMP_1	SMP_2	0.057205111	2.928111913	0.965251	1
TRINITY_DN12153_c0_g2	SMP_1	SMP_2	-0.331766711	3.896688832	0.62689495	1
TRINITY_DN12154_c0_g1	SMP_1	SMP_2	-0.992750729	2.960813773	0.160473594	0.886482426
TRINITY_DN12154_c0_g2	SMP_1	SMP_2	-0.615065518	1.888550997	0.434490464	1
TRINITY_DN12154_c1_g1	SMP_1	SMP_2	-0.623310873	4.488052358	0.354945243	1
TRINITY_DN12155_c0_g1	SMP_1	SMP_2	0.012074259	5.415884232	0.990492803	1
TRINITY_DN12156_c0_g1	SMP_1	SMP_2	-0.402821093	2.761292518	0.574641032	1
TRINITY_DN12156_c1_g1	SMP_1	SMP_2	0.483854212	4.843162038	0.468869422	1
TRINITY_DN12157_c0_g1	SMP_1	SMP_2	-0.80971964	7.525014048	0.219419843	0.986718027
TRINITY_DN12158_c1_g1	SMP_1	SMP_2	1.17371184	1.394786557	0.131132874	0.813008588
TRINITY_DN12158_c3_g1	SMP_1	SMP_2	1.157091108	1.206063611	0.158170437	0.881310237
TRINITY_DN12158_c4_g1	SMP_1	SMP_2	-0.314871638	6.694396365	0.632577018	1
TRINITY_DN12158_c4_g2	SMP_1	SMP_2	1.90210151	2.732135805	0.009348249	0.15885944
TRINITY_DN12158_c4_g3	SMP_1	SMP_2	1.94134511	4.205323015	0.005542392	0.105430356
TRINITY_DN12158_c4_g4	SMP_1	SMP_2	0.194489318	3.812746638	0.783385779	1
TRINITY_DN12158_c4_g5	SMP_1	SMP_2	-0.616879843	3.432318829	0.366808383	1
TRINITY_DN12159_c0_g1	SMP_1	SMP_2	0.589548438	2.163604612	0.442156305	1
TRINITY_DN12159_c0_g2	SMP_1	SMP_2	-0.626073212	6.429747867	0.342613627	1
TRINITY_DN12159_c0_g3	SMP_1	SMP_2	0.335449886	3.181259267	0.632449212	1
TRINITY_DN12160_c0_g1	SMP_1	SMP_2	0.896732716	2.237704192	0.22686101	0.995369741
TRINITY_DN12160_c0_g2	SMP_1	SMP_2	0.527423173	1.743280655	0.501238389	1
TRINITY_DN12161_c0_g1	SMP_1	SMP_2	0.42386313	3.388945518	0.542411495	1
TRINITY_DN12161_c0_g2	SMP_1	SMP_2	-1.00130573	3.150165367	0.152755093	0.863858853
TRINITY_DN12161_c0_g5	SMP_1	SMP_2	-0.669210672	0.701658323	0.458420067	1
TRINITY_DN12162_c0_g1	SMP_1	SMP_2	0.118522824	3.442040737	0.877589606	1
TRINITY_DN12163_c1_g1	SMP_1	SMP_2	1.889909463	0.395120677	0.048036813	0.502860418
TRINITY_DN12163_c2_g1	SMP_1	SMP_2	1.362854442	-0.226625599	0.228157586	0.995369741
TRINITY_DN12163_c3_g1	SMP_1	SMP_2	-0.139025507	3.903424583	0.848750883	1
TRINITY_DN12163_c3_g2	SMP_1	SMP_2	0.726810811	2.247257288	0.33042371	1
TRINITY_DN12163_c3_g5	SMP_1	SMP_2	-0.518379495	0.762980697	0.595081012	1
TRINITY_DN12163_c3_g6	SMP_1	SMP_2	1.364034304	2.235775634	0.068833247	0.613680487
TRINITY_DN12164_c0_g1	SMP_1	SMP_2	-0.039622761	4.444370739	0.956736717	1
TRINITY_DN12164_c0_g2	SMP_1	SMP_2	0.264968775	3.238722975	0.709935463	1
TRINITY_DN12165_c0_g1	SMP_1	SMP_2	0.28367453	3.530900374	0.684351269	1
TRINITY_DN12166_c0_g1	SMP_1	SMP_2	0.284307219	4.043125669	0.682551033	1
TRINITY_DN12167_c0_g1	SMP_1	SMP_2	-0.628960563	4.548171731	0.350977621	1
TRINITY_DN12168_c0_g1	SMP_1	SMP_2	0.058019737	3.128643955	0.939503181	1
TRINITY_DN12169_c3_g1	SMP_1	SMP_2	-3.526666329	4.776891058	1.81E-06	0.000170659
TRINITY_DN12169_c3_g2	SMP_1	SMP_2	-0.653602248	2.391397706	0.381330253	1
TRINITY_DN12170_c0_g1	SMP_1	SMP_2	-0.03609496	2.493128934	0.976770891	1
TRINITY_DN12171_c0_g1	SMP_1	SMP_2	0.666350369	4.318573089	0.324442105	1
TRINITY_DN12171_c1_g1	SMP_1	SMP_2	0.181772261	2.822868378	0.814858268	1
TRINITY_DN12172_c0_g1	SMP_1	SMP_2	-0.109885034	4.845100151	0.86914974	1
TRINITY_DN12173_c0_g1	SMP_1	SMP_2	-0.351344573	5.723341423	0.595038978	1
TRINITY_DN12174_c0_g1	SMP_1	SMP_2	0.692174255	4.758670592	0.301201528	1
TRINITY_DN12175_c0_g1	SMP_1	SMP_2	-1.686126025	2.960705373	0.017629798	0.254533585
TRINITY_DN12176_c1_g1	SMP_1	SMP_2	-0.516670253	0.205492932	0.701512771	1
TRINITY_DN12176_c2_g1	SMP_1	SMP_2	-0.885802165	1.842118177	0.259337626	1
TRINITY_DN12176_c2_g2	SMP_1	SMP_2	0.500365046	5.564434961	0.452216611	1
TRINITY_DN12176_c2_g3	SMP_1	SMP_2	-0.408612286	1.108533388	0.612350002	1
TRINITY_DN12176_c2_g5	SMP_1	SMP_2	0.418963933	0.65688171	0.700162868	1
TRINITY_DN12177_c0_g1	SMP_1	SMP_2	-1.040016389	0.01313725	0.302644776	1
TRINITY_DN12177_c0_g2	SMP_1	SMP_2	0.306531268	5.756838259	0.643327959	1
TRINITY_DN12177_c0_g4	SMP_1	SMP_2	0.022991265	4.879184516	0.977058726	1
TRINITY_DN12177_c0_g5	SMP_1	SMP_2	0.190624668	1.899132455	0.8277094	1
TRINITY_DN12177_c0_g6	SMP_1	SMP_2	0.188086528	1.226043911	0.839045315	1
TRINITY_DN12178_c2_g1	SMP_1	SMP_2	0.52574363	2.77623423	0.465345396	1
TRINITY_DN12178_c2_g2	SMP_1	SMP_2	0.388540398	3.550729193	0.576742829	1
TRINITY_DN12178_c2_g3	SMP_1	SMP_2	0.099147689	0.48692698	1	1
TRINITY_DN12178_c2_g4	SMP_1	SMP_2	2.875271372	0.028434233	0.018258403	0.259804357
TRINITY_DN12178_c2_g6	SMP_1	SMP_2	0.226826221	5.420502611	0.732970586	1
TRINITY_DN12178_c3_g1	SMP_1	SMP_2	0.836646916	4.40793704	0.217367202	0.986435661
TRINITY_DN12178_c3_g2	SMP_1	SMP_2	0.795124396	0.772743557	0.413308687	1
TRINITY_DN12179_c0_g1	SMP_1	SMP_2	-0.50138711	2.573525457	0.471922829	1
TRINITY_DN12180_c0_g1	SMP_1	SMP_2	0.457062713	3.938819023	0.508314773	1
TRINITY_DN12180_c0_g3	SMP_1	SMP_2	0.03776493	9.658037482	0.954099417	1
TRINITY_DN12181_c0_g1	SMP_1	SMP_2	-0.300075299	5.169613957	0.650725483	1
TRINITY_DN12181_c0_g2	SMP_1	SMP_2	-0.630800645	0.159951801	0.597592903	1
TRINITY_DN12182_c1_g1	SMP_1	SMP_2	-0.136551116	4.196295944	0.839795429	1
TRINITY_DN12183_c0_g1	SMP_1	SMP_2	-0.453624584	5.779196747	0.49225302	1
TRINITY_DN12184_c0_g1	SMP_1	SMP_2	0.081887742	2.904649811	0.911961055	1
TRINITY_DN12185_c0_g1	SMP_1	SMP_2	0.451624926	3.213783147	0.527307235	1
TRINITY_DN12186_c0_g1	SMP_1	SMP_2	-0.2296124	6.29363753	0.728258499	1
TRINITY_DN12187_c0_g1	SMP_1	SMP_2	-0.340011878	4.122842275	0.621686577	1
TRINITY_DN12188_c0_g1	SMP_1	SMP_2	-0.35357515	3.603703389	0.610449261	1
TRINITY_DN12188_c0_g2	SMP_1	SMP_2	-0.947774463	1.186432969	0.241442657	1
TRINITY_DN12189_c0_g1	SMP_1	SMP_2	0.403531025	6.597916771	0.54033155	1
TRINITY_DN12189_c0_g2	SMP_1	SMP_2	-0.469939642	2.19445267	0.521286646	1
TRINITY_DN12190_c1_g1	SMP_1	SMP_2	0.352550403	3.363219631	0.613313427	1
TRINITY_DN12190_c1_g2	SMP_1	SMP_2	0.316050099	3.740370751	0.641413156	1
TRINITY_DN12191_c0_g1	SMP_1	SMP_2	-0.20489744	3.215593674	0.774399704	1
TRINITY_DN12192_c0_g1	SMP_1	SMP_2	-1.147496685	2.529078962	0.111579956	0.780283057
TRINITY_DN12193_c1_g1	SMP_1	SMP_2	-0.250566885	6.682204108	0.703763115	1
TRINITY_DN12193_c1_g3	SMP_1	SMP_2	-0.553991803	4.387954698	0.413254455	1
TRINITY_DN12194_c0_g1	SMP_1	SMP_2	0.283377876	7.737670358	0.665899899	1
TRINITY_DN12194_c0_g2	SMP_1	SMP_2	0.305355322	0.12961283	0.892070181	1
TRINITY_DN12195_c0_g1	SMP_1	SMP_2	-0.480550075	5.714319181	0.468543296	1
TRINITY_DN12196_c0_g1	SMP_1	SMP_2	-0.596472643	8.906818477	0.363480527	1
TRINITY_DN12197_c0_g1	SMP_1	SMP_2	0.533296659	4.014140371	0.430871538	1
TRINITY_DN12197_c1_g1	SMP_1	SMP_2	-0.441816089	3.686979361	0.5220813	1
TRINITY_DN12198_c0_g1	SMP_1	SMP_2	-0.687183064	5.399792489	0.30161585	1
TRINITY_DN12199_c0_g1	SMP_1	SMP_2	-0.740772303	2.986813644	0.292458665	1
TRINITY_DN12199_c0_g2	SMP_1	SMP_2	-0.479515211	2.484053564	0.500544903	1
TRINITY_DN12199_c0_g3	SMP_1	SMP_2	-0.827498961	1.946830515	0.27369947	1
TRINITY_DN12200_c1_g1	SMP_1	SMP_2	1.596860286	4.451716094	0.019717574	0.274238685
TRINITY_DN12200_c1_g2	SMP_1	SMP_2	1.515351856	0.552163986	0.127301043	0.813008588
TRINITY_DN12200_c1_g4	SMP_1	SMP_2	-0.047883328	4.391083163	0.94867384	1
TRINITY_DN12201_c0_g1	SMP_1	SMP_2	0.159916053	2.2820194	0.866725139	1
TRINITY_DN12202_c0_g1	SMP_1	SMP_2	0.266031781	4.368034248	0.694537912	1
TRINITY_DN12202_c1_g1	SMP_1	SMP_2	2.607655732	0.30290625	0.015514096	0.231433276
TRINITY_DN12202_c1_g2	SMP_1	SMP_2	0.654994715	3.417625818	0.34976727	1
TRINITY_DN12202_c1_g3	SMP_1	SMP_2	1.494620317	4.732965101	0.028211376	0.356530549
TRINITY_DN12202_c1_g4	SMP_1	SMP_2	3.87046403	0.826258393	0.000481147	0.015983183
TRINITY_DN12202_c1_g6	SMP_1	SMP_2	0.982577291	0.205341926	0.366587697	1
TRINITY_DN12203_c0_g1	SMP_1	SMP_2	-0.815748092	5.162984405	0.221312398	0.990020772
TRINITY_DN12204_c0_g1	SMP_1	SMP_2	-0.047996964	5.480107718	0.945496451	1
TRINITY_DN12205_c0_g1	SMP_1	SMP_2	-0.534758458	4.079768842	0.435146046	1
TRINITY_DN12206_c0_g1	SMP_1	SMP_2	-0.689012574	6.928036058	0.295972899	1
TRINITY_DN12206_c0_g2	SMP_1	SMP_2	-0.030707943	7.313908636	0.963429011	1
TRINITY_DN12207_c0_g1	SMP_1	SMP_2	0.107212831	5.701374861	0.87296803	1
TRINITY_DN12208_c1_g1	SMP_1	SMP_2	-0.071597616	1.943813987	0.966621329	1
TRINITY_DN12208_c2_g3	SMP_1	SMP_2	-1.101646969	7.79182226	0.096297023	0.727578361
TRINITY_DN12208_c2_g4	SMP_1	SMP_2	-1.172439946	7.734362485	0.07719719	0.652115296
TRINITY_DN12208_c2_g5	SMP_1	SMP_2	-0.194491824	4.623976102	0.773397912	1
TRINITY_DN12208_c2_g6	SMP_1	SMP_2	-1.335808387	7.727916789	0.044864973	0.482257445
TRINITY_DN12209_c0_g1	SMP_1	SMP_2	-0.384736789	3.435201388	0.57784367	1
TRINITY_DN12210_c0_g1	SMP_1	SMP_2	-0.943636467	3.065177086	0.175833766	0.92328344
TRINITY_DN12210_c0_g3	SMP_1	SMP_2	0.269325282	4.6296446	0.691535102	1
TRINITY_DN12211_c0_g1	SMP_1	SMP_2	-0.128834551	1.573830004	0.914638544	1
TRINITY_DN12211_c0_g2	SMP_1	SMP_2	0.416681099	5.021321752	0.532357843	1
TRINITY_DN12212_c2_g1	SMP_1	SMP_2	-1.248250234	6.390361133	0.061289092	0.580297165
TRINITY_DN12212_c2_g2	SMP_1	SMP_2	-0.253360981	3.081482609	0.723161478	1
TRINITY_DN12212_c2_g4	SMP_1	SMP_2	-0.622777933	0.256908338	0.545468341	1
TRINITY_DN12213_c1_g1	SMP_1	SMP_2	-0.363515968	5.238797608	0.582879449	1
TRINITY_DN12213_c1_g2	SMP_1	SMP_2	-1.260897436	2.949034858	0.072836359	0.632064172
TRINITY_DN12213_c1_g4	SMP_1	SMP_2	-0.454956254	0.916702516	0.623262903	1
TRINITY_DN12214_c0_g1	SMP_1	SMP_2	0.019549174	3.875839365	0.990867861	1
TRINITY_DN12215_c1_g1	SMP_1	SMP_2	-1.261899338	2.441970815	0.083935359	0.679544131
TRINITY_DN12215_c2_g1	SMP_1	SMP_2	0.211908334	3.178353157	0.768919883	1
TRINITY_DN12215_c2_g2	SMP_1	SMP_2	-0.169564735	3.218862432	0.81664896	1
TRINITY_DN12215_c2_g3	SMP_1	SMP_2	0.494294024	4.323701048	0.460163759	1
TRINITY_DN12215_c2_g4	SMP_1	SMP_2	-1.761156717	1.953693096	0.019673353	0.27378556
TRINITY_DN12216_c0_g1	SMP_1	SMP_2	-0.059915566	6.805642676	0.928355398	1
TRINITY_DN12216_c0_g2	SMP_1	SMP_2	-0.006439596	6.866742432	0.99328918	1
TRINITY_DN12216_c0_g3	SMP_1	SMP_2	-0.148886401	3.320508418	0.841294811	1
TRINITY_DN12216_c0_g4	SMP_1	SMP_2	-0.080276407	4.304638253	0.911712436	1
TRINITY_DN12217_c1_g1	SMP_1	SMP_2	0.769667574	2.382070246	0.289684031	1
TRINITY_DN12217_c1_g2	SMP_1	SMP_2	-0.859633783	5.317675384	0.196491719	0.952843041
TRINITY_DN12217_c1_g4	SMP_1	SMP_2	1.596232209	0.190660903	0.101168537	0.739339474
TRINITY_DN12218_c0_g1	SMP_1	SMP_2	0.207841995	2.088397773	0.788911567	1
TRINITY_DN12219_c1_g2	SMP_1	SMP_2	0.361336095	2.657261217	0.636526068	1
TRINITY_DN12219_c1_g3	SMP_1	SMP_2	-1.275358214	6.600123223	0.055719226	0.547165121
TRINITY_DN12219_c1_g4	SMP_1	SMP_2	-0.728380629	6.619722935	0.269958932	1
TRINITY_DN12219_c1_g5	SMP_1	SMP_2	-1.277463266	6.343946363	0.055673148	0.546941003
TRINITY_DN12220_c0_g1	SMP_1	SMP_2	0.292126185	5.310417769	0.661969609	1
TRINITY_DN12220_c1_g1	SMP_1	SMP_2	0.141242857	6.871065356	0.83060401	1
TRINITY_DN12220_c2_g1	SMP_1	SMP_2	0.99620616	3.651208777	0.148785789	0.852638588
TRINITY_DN12221_c0_g1	SMP_1	SMP_2	0.862427574	0.297617857	0.394949373	1
TRINITY_DN12221_c2_g3	SMP_1	SMP_2	0.455862485	1.968137322	0.559973664	1
TRINITY_DN12221_c2_g4	SMP_1	SMP_2	-0.268601745	0.93739618	0.809945727	1
TRINITY_DN12221_c2_g6	SMP_1	SMP_2	-0.582508199	0.922594863	0.511408434	1
TRINITY_DN12222_c0_g1	SMP_1	SMP_2	-1.277834656	4.850174514	0.058910572	0.566210768
TRINITY_DN12223_c3_g3	SMP_1	SMP_2	-0.838092561	6.606231371	0.205003425	0.967601942
TRINITY_DN12223_c4_g5	SMP_1	SMP_2	0.06324012	2.171979117	0.942563315	1
TRINITY_DN12223_c5_g1	SMP_1	SMP_2	0.317437971	2.608234582	0.663284828	1
TRINITY_DN12224_c0_g1	SMP_1	SMP_2	0.543243512	5.066045247	0.414234065	1
TRINITY_DN12225_c0_g1	SMP_1	SMP_2	0.258479937	2.046602603	0.753319637	1
TRINITY_DN12225_c0_g2	SMP_1	SMP_2	0.674529557	0.466522284	0.503000489	1
TRINITY_DN12225_c0_g3	SMP_1	SMP_2	0.571052688	-0.034423114	0.545915011	1
TRINITY_DN12226_c0_g1	SMP_1	SMP_2	-0.278252349	3.221186918	0.695578391	1
TRINITY_DN12226_c0_g2	SMP_1	SMP_2	-0.309017758	5.897882917	0.639546888	1
TRINITY_DN12226_c0_g3	SMP_1	SMP_2	-0.399348154	4.840642232	0.553593825	1
TRINITY_DN12227_c0_g1	SMP_1	SMP_2	1.386242889	0.051339797	0.18037156	0.929660604
TRINITY_DN12227_c1_g1	SMP_1	SMP_2	0.3035623	3.059977967	0.675111653	1
TRINITY_DN12227_c1_g2	SMP_1	SMP_2	0.25567972	2.862903822	0.732016429	1
TRINITY_DN12228_c0_g1	SMP_1	SMP_2	0.317154777	3.25193939	0.660241267	1
TRINITY_DN12229_c0_g1	SMP_1	SMP_2	-0.049033859	4.724126619	0.949029208	1
TRINITY_DN12230_c0_g1	SMP_1	SMP_2	-0.539527056	4.229554739	0.426648055	1
TRINITY_DN12230_c0_g2	SMP_1	SMP_2	-0.192006404	2.786839592	0.810913469	1
TRINITY_DN12230_c0_g3	SMP_1	SMP_2	0.305355322	0.12961283	0.892070181	1
TRINITY_DN12230_c0_g4	SMP_1	SMP_2	-0.034507347	3.555367526	0.97732956	1
TRINITY_DN12231_c0_g1	SMP_1	SMP_2	0.474646285	0.473321746	0.656346857	1
TRINITY_DN12231_c1_g1	SMP_1	SMP_2	0.148333786	5.29510012	0.825781656	1
TRINITY_DN12232_c0_g1	SMP_1	SMP_2	-0.358318483	1.841965571	0.653067497	1
TRINITY_DN12232_c1_g1	SMP_1	SMP_2	0.117428172	4.617957375	0.863381091	1
TRINITY_DN12232_c1_g2	SMP_1	SMP_2	-0.422851896	2.239721987	0.581254931	1
TRINITY_DN12233_c0_g1	SMP_1	SMP_2	-0.026165309	6.798725257	0.96934584	1
TRINITY_DN12234_c4_g1	SMP_1	SMP_2	0.684377229	1.082818209	0.407522825	1
TRINITY_DN12234_c4_g2	SMP_1	SMP_2	-0.418946067	3.15829873	0.563098314	1
TRINITY_DN12234_c4_g3	SMP_1	SMP_2	0.674529557	0.466522284	0.503000489	1
TRINITY_DN12235_c0_g1	SMP_1	SMP_2	-0.016136903	4.87316297	0.98619817	1
TRINITY_DN12235_c0_g2	SMP_1	SMP_2	0.264349702	2.847385088	0.729318719	1
TRINITY_DN12235_c0_g4	SMP_1	SMP_2	0.231005581	4.471683503	0.731420508	1
TRINITY_DN12236_c0_g1	SMP_1	SMP_2	-0.673198988	6.308270685	0.308199484	1
TRINITY_DN12237_c0_g1	SMP_1	SMP_2	2.069911963	5.618731256	0.002630802	0.058759564
TRINITY_DN12237_c0_g2	SMP_1	SMP_2	-0.675434551	1.604944291	0.374612247	1
TRINITY_DN12237_c0_g3	SMP_1	SMP_2	3.989779287	0.116109629	0.004550577	0.090088408
TRINITY_DN12238_c0_g1	SMP_1	SMP_2	-0.047223392	4.679637425	0.952684037	1
TRINITY_DN12239_c1_g1	SMP_1	SMP_2	-0.226419947	3.079460206	0.752936344	1
TRINITY_DN12239_c1_g2	SMP_1	SMP_2	-0.821022409	0.708052853	0.35195721	1
TRINITY_DN12239_c1_g3	SMP_1	SMP_2	1.509328914	4.932147632	0.026441243	0.337606724
TRINITY_DN12239_c1_g4	SMP_1	SMP_2	-0.146752797	5.489886823	0.826729154	1
TRINITY_DN12239_c1_g5	SMP_1	SMP_2	1.979318576	1.976398565	0.012771237	0.200511838
TRINITY_DN12240_c0_g1	SMP_1	SMP_2	1.129002533	4.40481513	0.094532337	0.721337807
TRINITY_DN12241_c0_g2	SMP_1	SMP_2	0.70143955	4.851953803	0.295104045	1
TRINITY_DN12241_c0_g3	SMP_1	SMP_2	0.640803668	3.105703784	0.356903798	1
TRINITY_DN12241_c0_g5	SMP_1	SMP_2	-0.46079363	4.603032589	0.494195345	1
TRINITY_DN12242_c0_g1	SMP_1	SMP_2	-0.153046238	3.292887976	0.824993868	1
TRINITY_DN12242_c0_g2	SMP_1	SMP_2	-0.203307206	2.687908006	0.798011028	1
TRINITY_DN12243_c0_g1	SMP_1	SMP_2	0.010414908	2.811848429	1	1
TRINITY_DN12244_c0_g1	SMP_1	SMP_2	-0.304731682	1.447498713	0.728198655	1
TRINITY_DN12244_c0_g2	SMP_1	SMP_2	0.771087336	1.562523018	0.350921908	1
TRINITY_DN12244_c0_g3	SMP_1	SMP_2	0.103726669	1.814245796	0.92706183	1
TRINITY_DN12245_c1_g1	SMP_1	SMP_2	0.659354648	6.030004889	0.319058237	1
TRINITY_DN12245_c1_g2	SMP_1	SMP_2	-0.500830885	2.535051033	0.496171173	1
TRINITY_DN12245_c1_g3	SMP_1	SMP_2	-0.26141345	5.125390782	0.697554654	1
TRINITY_DN12246_c0_g1	SMP_1	SMP_2	-0.322458794	8.938103891	0.622473707	1
TRINITY_DN12246_c0_g2	SMP_1	SMP_2	-0.217318434	5.200738047	0.74682446	1
TRINITY_DN12247_c0_g1	SMP_1	SMP_2	-0.322342167	3.578020837	0.643562533	1
TRINITY_DN12248_c0_g1	SMP_1	SMP_2	-0.18171602	3.317487326	0.801565912	1
TRINITY_DN12249_c0_g1	SMP_1	SMP_2	0.280172885	4.543569868	0.679121572	1
TRINITY_DN12250_c1_g2	SMP_1	SMP_2	-0.08019485	5.422548972	0.905556047	1
TRINITY_DN12250_c1_g3	SMP_1	SMP_2	-0.985592183	6.891496868	0.13666385	0.834639596
TRINITY_DN12250_c1_g4	SMP_1	SMP_2	-0.223731247	3.643177607	0.757825813	1
TRINITY_DN12251_c0_g1	SMP_1	SMP_2	1.421535741	1.932734669	0.067926108	0.608360295
TRINITY_DN12251_c0_g2	SMP_1	SMP_2	2.758875533	0.41899876	0.010331312	0.168854853
TRINITY_DN12252_c1_g1	SMP_1	SMP_2	0.740130024	2.527475276	0.308027234	1
TRINITY_DN12252_c2_g1	SMP_1	SMP_2	-0.107437018	6.747049706	0.871068703	1
TRINITY_DN12252_c2_g2	SMP_1	SMP_2	-0.401581191	1.570590891	0.632730355	1
TRINITY_DN12253_c0_g1	SMP_1	SMP_2	-0.582011176	5.159264397	0.384299721	1
TRINITY_DN12254_c0_g1	SMP_1	SMP_2	0.1554793	0.701073785	0.925107585	1
TRINITY_DN12254_c0_g3	SMP_1	SMP_2	-0.069430016	6.589962805	0.917067251	1
TRINITY_DN12255_c0_g1	SMP_1	SMP_2	-0.309053989	4.606393227	0.646303803	1
TRINITY_DN12256_c0_g2	SMP_1	SMP_2	-0.44895384	5.808246857	0.496788871	1
TRINITY_DN12256_c0_g3	SMP_1	SMP_2	0.165550664	6.60437929	0.80219719	1
TRINITY_DN12256_c0_g4	SMP_1	SMP_2	-0.568250563	3.866085463	0.404485122	1
TRINITY_DN12256_c0_g5	SMP_1	SMP_2	-0.371667207	4.399607246	0.580721459	1
TRINITY_DN12257_c0_g1	SMP_1	SMP_2	0.665130922	4.929207735	0.318635714	1
TRINITY_DN12257_c1_g1	SMP_1	SMP_2	3.071266211	8.678377698	1.41E-05	0.000951263
TRINITY_DN12257_c1_g2	SMP_1	SMP_2	0.045073004	3.338474244	0.960541362	1
TRINITY_DN12257_c1_g3	SMP_1	SMP_2	-7.683588318	0.025323963	7.45E-05	0.003530726
TRINITY_DN12257_c1_g4	SMP_1	SMP_2	-1.164112332	4.518687625	0.084515851	0.682833496
TRINITY_DN12258_c0_g1	SMP_1	SMP_2	-0.248964999	5.854658238	0.706675708	1
TRINITY_DN12258_c0_g2	SMP_1	SMP_2	-0.879942082	6.021215047	0.185216731	0.933945349
TRINITY_DN12259_c0_g1	SMP_1	SMP_2	0.07732626	4.036525524	0.91834886	1
TRINITY_DN12259_c1_g1	SMP_1	SMP_2	-0.162867622	4.659038802	0.809751019	1
TRINITY_DN12259_c2_g1	SMP_1	SMP_2	-0.613277187	4.314941044	0.365595655	1
TRINITY_DN12259_c3_g1	SMP_1	SMP_2	0.320061768	4.439956356	0.634236516	1
TRINITY_DN12260_c0_g1	SMP_1	SMP_2	0.894431196	6.002143019	0.178128564	0.926955745
TRINITY_DN12261_c0_g1	SMP_1	SMP_2	-0.79804737	3.392446729	0.24591651	1
TRINITY_DN12261_c0_g3	SMP_1	SMP_2	0.824668262	4.391493557	0.220835213	0.990020772
TRINITY_DN12261_c0_g5	SMP_1	SMP_2	-0.677370997	0.630795408	0.438357872	1
TRINITY_DN12261_c0_g6	SMP_1	SMP_2	0.101925097	4.336242302	0.880487699	1
TRINITY_DN12262_c0_g1	SMP_1	SMP_2	0.056508901	2.777041064	0.961445516	1
TRINITY_DN12263_c0_g1	SMP_1	SMP_2	-0.270875277	4.724046518	0.686969503	1
TRINITY_DN12263_c0_g2	SMP_1	SMP_2	-0.649942707	6.785730283	0.324229333	1
TRINITY_DN12264_c0_g1	SMP_1	SMP_2	0.026127536	4.938998088	0.973605907	1
TRINITY_DN12265_c0_g1	SMP_1	SMP_2	0.279125903	1.908371275	0.729992954	1
TRINITY_DN12265_c1_g1	SMP_1	SMP_2	-0.572091597	3.753105501	0.401422044	1
TRINITY_DN12265_c1_g2	SMP_1	SMP_2	-1.444920731	3.251346823	0.04064935	0.453956349
TRINITY_DN12265_c1_g3	SMP_1	SMP_2	0.071769409	5.026676195	0.917312758	1
TRINITY_DN12265_c1_g4	SMP_1	SMP_2	-0.869600847	2.752437902	0.224920633	0.994904715
TRINITY_DN12266_c0_g1	SMP_1	SMP_2	0.542924341	2.344322898	0.474124635	1
TRINITY_DN12267_c0_g1	SMP_1	SMP_2	-1.10276509	1.647481547	0.151025217	0.858882085
TRINITY_DN12267_c1_g1	SMP_1	SMP_2	0.124737704	4.861318374	0.852204749	1
TRINITY_DN12267_c1_g2	SMP_1	SMP_2	-0.57755877	1.036682726	0.49929386	1
TRINITY_DN12268_c0_g2	SMP_1	SMP_2	0.678446857	6.690397083	0.303948527	1
