	sampleA	sampleB
GO:0001704	2.0	0.0
GO:0001707	2.0	0.0
GO:0001708	2.0	0.0
GO:0001709	3.0	2.0
GO:0001725	2.0	0.0
GO:0001726	3.0	0.0
GO:0001736	1.0	0.0
GO:0001745	2.0	0.0
GO:0001751	2.0	1.0
GO:0001752	3.0	0.0
GO:0001754	2.0	1.0
GO:0001755	1.0	0.0
GO:0001756	1.0	0.0
GO:0001763	4.0	1.0
GO:0001764	2.0	0.0
GO:0001772	2.0	0.0
GO:0001775	6.0	1.0
GO:0001776	1.0	0.0
GO:0001777	1.0	0.0
GO:0001778	0.0	1.0
GO:0001782	1.0	0.0
GO:0001783	1.0	0.0
GO:0001816	1.0	0.0
GO:0001817	4.0	1.0
GO:0001818	2.0	0.0
GO:0001819	1.0	1.0
GO:0001822	1.0	0.0
GO:0001824	2.0	0.0
GO:0001836	1.0	0.0
GO:0001837	0.0	2.0
GO:0001843	3.0	0.0
GO:0001844	1.0	0.0
GO:0001846	1.0	0.0
GO:0001848	1.0	0.0
GO:0001849	1.0	0.0
GO:0001871	4.0	0.0
GO:0001872	1.0	0.0
GO:0001882	187.0	32.0
GO:0001883	187.0	32.0
GO:0001885	0.0	1.0
GO:0001889	5.0	0.0
GO:0001891	1.0	0.0
GO:0001894	5.0	0.0
GO:0001932	16.0	4.0
GO:0001933	6.0	1.0
GO:0001934	4.0	3.0
GO:0001936	1.0	0.0
GO:0001937	1.0	0.0
GO:0001947	2.0	0.0
GO:0001948	1.0	0.0
GO:0001952	3.0	1.0
GO:0001954	1.0	0.0
GO:0001958	3.0	0.0
GO:0001959	2.0	0.0
GO:0001960	1.0	0.0
GO:0001974	3.0	0.0
GO:0002009	13.0	3.0
GO:0002011	2.0	0.0
GO:0002020	5.0	0.0
GO:0002026	1.0	0.0
GO:0002028	3.0	1.0
GO:0002029	1.0	0.0
GO:0002032	1.0	0.0
GO:0002039	2.0	1.0
GO:0002046	1.0	0.0
GO:0002052	1.0	0.0
GO:0002064	6.0	2.0
GO:0002065	0.0	1.0
GO:0002066	5.0	1.0
GO:0002068	1.0	0.0
GO:0002082	1.0	0.0
GO:0002084	1.0	1.0
GO:0002090	1.0	1.0
GO:0002092	1.0	1.0
GO:0002119	2.0	1.0
GO:0002161	5.0	0.0
GO:0002162	1.0	0.0
GO:0002164	2.0	1.0
GO:0002181	7.0	0.0
GO:0002200	1.0	1.0
GO:0002209	1.0	0.0
GO:0002218	1.0	0.0
GO:0002220	1.0	0.0
GO:0002223	1.0	0.0
GO:0002225	1.0	0.0
GO:0002237	1.0	0.0
GO:0002244	2.0	0.0
GO:0002250	0.0	1.0
GO:0002252	8.0	2.0
GO:0002253	8.0	0.0
GO:0002260	1.0	0.0
GO:0002262	2.0	0.0
GO:0002263	3.0	1.0
GO:0002274	3.0	1.0
GO:0002275	3.0	1.0
GO:0002283	3.0	1.0
GO:0002339	1.0	0.0
GO:0002352	1.0	0.0
GO:0002358	1.0	0.0
GO:0002366	3.0	1.0
GO:0002376	27.0	8.0
GO:0002429	6.0	0.0
GO:0002437	2.0	0.0
GO:0002438	2.0	0.0
GO:0002474	1.0	1.0
GO:0002478	1.0	0.0
GO:0002483	0.0	1.0
GO:0002495	1.0	0.0
GO:0002504	1.0	0.0
GO:0002526	2.0	0.0
GO:0002542	0.0	1.0
GO:0002562	0.0	1.0
GO:0002566	1.0	1.0
GO:0002576	1.0	1.0
GO:0002673	1.0	1.0
GO:0002675	0.0	1.0
GO:0002682	30.0	5.0
GO:0002683	8.0	2.0
GO:0002684	11.0	1.0
GO:0002685	1.0	0.0
GO:0002687	1.0	0.0
GO:0002688	1.0	0.0
GO:0002690	1.0	0.0
GO:0002694	4.0	0.0
GO:0002695	2.0	0.0
GO:0002697	5.0	2.0
GO:0002698	3.0	1.0
GO:0002699	1.0	0.0
GO:0002700	1.0	0.0
GO:0002702	1.0	0.0
GO:0002757	6.0	0.0
GO:0002758	1.0	0.0
GO:0002759	1.0	0.0
GO:0002760	1.0	0.0
GO:0002764	6.0	0.0
GO:0002768	6.0	0.0
GO:0002784	1.0	0.0
GO:0002791	3.0	1.0
GO:0002792	2.0	0.0
GO:0002793	1.0	1.0
GO:0002805	1.0	0.0
GO:0002807	1.0	0.0
GO:0002831	5.0	2.0
GO:0002832	3.0	1.0
GO:0002833	1.0	0.0
GO:0002861	0.0	1.0
GO:0002862	0.0	1.0
GO:0002902	1.0	0.0
GO:0002904	1.0	0.0
GO:0002920	2.0	0.0
GO:0002922	1.0	0.0
GO:0003002	8.0	1.0
GO:0003006	31.0	5.0
GO:0003008	23.0	10.0
GO:0003012	6.0	2.0
GO:0003013	5.0	1.0
GO:0003015	3.0	1.0
GO:0003018	2.0	1.0
GO:0003128	2.0	0.0
GO:0003139	2.0	0.0
GO:0003140	1.0	0.0
GO:0003143	2.0	0.0
GO:0003147	1.0	0.0
GO:0003148	2.0	0.0
GO:0003156	1.0	0.0
GO:0003223	2.0	0.0
GO:0003253	1.0	0.0
GO:0003254	3.0	1.0
GO:0003279	2.0	0.0
GO:0003281	2.0	0.0
GO:0003300	1.0	0.0
GO:0003322	1.0	0.0
GO:0003333	2.0	0.0
GO:0003344	1.0	0.0
GO:0003373	1.0	0.0
GO:0003374	1.0	0.0
GO:0003376	1.0	0.0
GO:0003382	1.0	0.0
GO:0003407	1.0	0.0
GO:0003674	777.0	200.0
GO:0003676	202.0	39.0
GO:0003677	96.0	26.0
GO:0003678	5.0	0.0
GO:0003680	0.0	1.0
GO:0003682	10.0	1.0
GO:0003684	3.0	0.0
GO:0003688	2.0	0.0
GO:0003689	1.0	0.0
GO:0003690	2.0	0.0
GO:0003697	5.0	1.0
GO:0003700	28.0	4.0
GO:0003705	1.0	0.0
GO:0003707	0.0	1.0
GO:0003712	5.0	1.0
GO:0003713	4.0	0.0
GO:0003714	1.0	0.0
GO:0003723	103.0	16.0
GO:0003724	5.0	4.0
GO:0003725	1.0	0.0
GO:0003727	6.0	1.0
GO:0003729	16.0	3.0
GO:0003730	3.0	2.0
GO:0003735	51.0	2.0
GO:0003743	7.0	1.0
GO:0003746	8.0	1.0
GO:0003747	2.0	0.0
GO:0003755	2.0	1.0
GO:0003774	7.0	2.0
GO:0003777	4.0	1.0
GO:0003779	26.0	3.0
GO:0003796	1.0	0.0
GO:0003823	0.0	1.0
GO:0003824	443.0	104.0
GO:0003825	2.0	0.0
GO:0003847	2.0	0.0
GO:0003857	2.0	0.0
GO:0003860	1.0	0.0
GO:0003872	4.0	0.0
GO:0003873	1.0	0.0
GO:0003887	11.0	2.0
GO:0003899	2.0	0.0
GO:0003906	1.0	0.0
GO:0003909	6.0	0.0
GO:0003910	3.0	0.0
GO:0003911	3.0	0.0
GO:0003916	5.0	0.0
GO:0003918	5.0	0.0
GO:0003922	2.0	0.0
GO:0003924	19.0	3.0
GO:0003933	2.0	0.0
GO:0003935	2.0	0.0
GO:0003938	1.0	0.0
GO:0003941	1.0	0.0
GO:0003951	1.0	0.0
GO:0003954	1.0	0.0
GO:0003964	2.0	2.0
GO:0003968	1.0	1.0
GO:0003977	1.0	0.0
GO:0003979	2.0	0.0
GO:0003983	4.0	0.0
GO:0003988	1.0	0.0
GO:0003989	4.0	0.0
GO:0003994	1.0	0.0
GO:0003995	2.0	0.0
GO:0003997	1.0	0.0
GO:0004003	2.0	0.0
GO:0004004	5.0	2.0
GO:0004013	2.0	0.0
GO:0004015	1.0	0.0
GO:0004021	1.0	0.0
GO:0004022	2.0	0.0
GO:0004029	1.0	0.0
GO:0004033	3.0	0.0
GO:0004035	1.0	0.0
GO:0004038	1.0	0.0
GO:0004040	2.0	0.0
GO:0004053	1.0	0.0
GO:0004054	1.0	0.0
GO:0004061	0.0	1.0
GO:0004062	1.0	0.0
GO:0004065	2.0	0.0
GO:0004070	4.0	0.0
GO:0004072	1.0	0.0
GO:0004075	2.0	0.0
GO:0004076	1.0	0.0
GO:0004087	4.0	0.0
GO:0004088	4.0	0.0
GO:0004089	2.0	0.0
GO:0004108	1.0	0.0
GO:0004109	1.0	0.0
GO:0004112	1.0	0.0
GO:0004113	1.0	0.0
GO:0004122	2.0	0.0
GO:0004129	2.0	0.0
GO:0004133	1.0	0.0
GO:0004134	1.0	0.0
GO:0004135	1.0	0.0
GO:0004140	1.0	0.0
GO:0004142	1.0	0.0
GO:0004148	1.0	0.0
GO:0004149	1.0	0.0
GO:0004151	5.0	0.0
GO:0004165	1.0	0.0
GO:0004170	1.0	0.0
GO:0004175	27.0	23.0
GO:0004176	4.0	0.0
GO:0004177	2.0	1.0
GO:0004180	1.0	2.0
GO:0004181	0.0	1.0
GO:0004185	1.0	0.0
GO:0004190	3.0	2.0
GO:0004197	5.0	1.0
GO:0004198	2.0	0.0
GO:0004222	7.0	6.0
GO:0004252	11.0	12.0
GO:0004298	1.0	0.0
GO:0004300	2.0	0.0
GO:0004303	2.0	0.0
GO:0004307	1.0	0.0
GO:0004322	1.0	1.0
GO:0004331	1.0	0.0
GO:0004332	2.0	2.0
GO:0004341	0.0	1.0
GO:0004347	1.0	0.0
GO:0004348	2.0	0.0
GO:0004349	1.0	0.0
GO:0004350	1.0	0.0
GO:0004352	1.0	0.0
GO:0004356	1.0	0.0
GO:0004364	3.0	2.0
GO:0004365	2.0	2.0
GO:0004372	1.0	0.0
GO:0004375	2.0	0.0
GO:0004386	11.0	5.0
GO:0004402	3.0	0.0
GO:0004408	1.0	0.0
GO:0004427	2.0	0.0
GO:0004430	0.0	1.0
GO:0004438	1.0	0.0
GO:0004448	3.0	0.0
GO:0004450	3.0	0.0
GO:0004451	1.0	0.0
GO:0004467	1.0	0.0
GO:0004474	1.0	0.0
GO:0004475	1.0	0.0
GO:0004478	1.0	0.0
GO:0004479	2.0	0.0
GO:0004482	0.0	1.0
GO:0004497	7.0	3.0
GO:0004518	25.0	3.0
GO:0004519	9.0	2.0
GO:0004520	3.0	1.0
GO:0004521	1.0	1.0
GO:0004523	1.0	0.0
GO:0004525	0.0	1.0
GO:0004527	15.0	1.0
GO:0004529	1.0	0.0
GO:0004530	0.0	1.0
GO:0004532	7.0	1.0
GO:0004533	1.0	0.0
GO:0004534	2.0	0.0
GO:0004536	4.0	1.0
GO:0004540	11.0	2.0
GO:0004550	3.0	0.0
GO:0004553	11.0	1.0
GO:0004556	0.0	1.0
GO:0004558	1.0	0.0
GO:0004567	2.0	0.0
GO:0004594	1.0	0.0
GO:0004601	11.0	3.0
GO:0004602	1.0	1.0
GO:0004605	1.0	0.0
GO:0004607	3.0	0.0
GO:0004618	0.0	2.0
GO:0004619	1.0	0.0
GO:0004620	4.0	1.0
GO:0004622	1.0	0.0
GO:0004623	2.0	0.0
GO:0004630	0.0	1.0
GO:0004632	1.0	0.0
GO:0004633	2.0	0.0
GO:0004634	4.0	0.0
GO:0004645	1.0	0.0
GO:0004647	1.0	0.0
GO:0004652	0.0	1.0
GO:0004654	1.0	0.0
GO:0004657	1.0	0.0
GO:0004666	0.0	2.0
GO:0004672	23.0	9.0
GO:0004673	3.0	3.0
GO:0004674	18.0	6.0
GO:0004702	1.0	0.0
GO:0004709	1.0	0.0
GO:0004712	3.0	0.0
GO:0004713	5.0	1.0
GO:0004714	1.0	0.0
GO:0004715	0.0	1.0
GO:0004721	5.0	3.0
GO:0004722	1.0	1.0
GO:0004724	0.0	1.0
GO:0004725	4.0	2.0
GO:0004736	1.0	0.0
GO:0004738	2.0	0.0
GO:0004739	2.0	0.0
GO:0004742	2.0	0.0
GO:0004743	3.0	0.0
GO:0004748	1.0	0.0
GO:0004768	1.0	0.0
GO:0004774	3.0	0.0
GO:0004775	3.0	0.0
GO:0004776	1.0	0.0
GO:0004791	2.0	0.0
GO:0004793	1.0	0.0
GO:0004797	0.0	1.0
GO:0004803	2.0	2.0
GO:0004805	2.0	0.0
GO:0004806	1.0	0.0
GO:0004807	1.0	0.0
GO:0004812	11.0	2.0
GO:0004819	0.0	2.0
GO:0004823	1.0	0.0
GO:0004824	3.0	0.0
GO:0004831	2.0	0.0
GO:0004832	4.0	0.0
GO:0004838	1.0	0.0
GO:0004842	14.0	3.0
GO:0004843	1.0	1.0
GO:0004844	1.0	0.0
GO:0004849	0.0	1.0
GO:0004850	1.0	0.0
GO:0004854	1.0	0.0
GO:0004855	1.0	0.0
GO:0004857	20.0	8.0
GO:0004866	17.0	8.0
GO:0004867	10.0	8.0
GO:0004869	6.0	0.0
GO:0004871	12.0	5.0
GO:0004872	10.0	5.0
GO:0004879	0.0	1.0
GO:0004887	0.0	1.0
GO:0004888	6.0	1.0
GO:0004890	1.0	0.0
GO:0004930	2.0	0.0
GO:0004970	1.0	1.0
GO:0005044	1.0	0.0
GO:0005048	1.0	0.0
GO:0005057	4.0	3.0
GO:0005072	1.0	0.0
GO:0005085	8.0	0.0
GO:0005086	1.0	0.0
GO:0005088	4.0	0.0
GO:0005089	3.0	0.0
GO:0005095	1.0	0.0
GO:0005096	3.0	0.0
GO:0005102	17.0	7.0
GO:0005112	1.0	0.0
GO:0005121	1.0	1.0
GO:0005125	1.0	0.0
GO:0005126	0.0	1.0
GO:0005138	0.0	1.0
GO:0005149	0.0	1.0
GO:0005151	0.0	1.0
GO:0005158	1.0	0.0
GO:0005178	2.0	0.0
GO:0005179	2.0	3.0
GO:0005184	2.0	1.0
GO:0005198	76.0	28.0
GO:0005200	4.0	0.0
GO:0005201	0.0	6.0
GO:0005214	0.0	6.0
GO:0005215	64.0	12.0
GO:0005216	8.0	2.0
GO:0005217	2.0	0.0
GO:0005218	2.0	0.0
GO:0005219	2.0	0.0
GO:0005227	1.0	0.0
GO:0005230	1.0	1.0
GO:0005231	1.0	1.0
GO:0005234	1.0	1.0
GO:0005243	1.0	1.0
GO:0005244	2.0	0.0
GO:0005249	2.0	0.0
GO:0005253	1.0	0.0
GO:0005254	1.0	0.0
GO:0005261	5.0	1.0
GO:0005262	2.0	0.0
GO:0005267	3.0	0.0
GO:0005277	1.0	0.0
GO:0005310	1.0	0.0
GO:0005319	3.0	2.0
GO:0005324	0.0	1.0
GO:0005326	1.0	0.0
GO:0005329	1.0	0.0
GO:0005333	1.0	0.0
GO:0005337	2.0	0.0
GO:0005342	5.0	0.0
GO:0005346	1.0	0.0
GO:0005347	1.0	0.0
GO:0005355	0.0	1.0
GO:0005362	0.0	1.0
GO:0005372	1.0	0.0
GO:0005388	2.0	0.0
GO:0005391	1.0	0.0
GO:0005412	0.0	1.0
GO:0005452	1.0	0.0
GO:0005471	1.0	0.0
GO:0005484	1.0	0.0
GO:0005488	611.0	137.0
GO:0005504	0.0	1.0
GO:0005506	11.0	2.0
GO:0005507	2.0	0.0
GO:0005509	25.0	4.0
GO:0005515	210.0	41.0
GO:0005516	10.0	2.0
GO:0005518	1.0	0.0
GO:0005520	2.0	1.0
GO:0005521	1.0	1.0
GO:0005523	3.0	0.0
GO:0005524	165.0	28.0
GO:0005525	23.0	4.0
GO:0005539	3.0	0.0
GO:0005540	1.0	0.0
GO:0005542	1.0	0.0
GO:0005543	5.0	2.0
GO:0005544	0.0	1.0
GO:0005546	1.0	0.0
GO:0005547	1.0	0.0
GO:0005575	753.0	177.0
GO:0005576	68.0	43.0
GO:0005578	1.0	0.0
GO:0005581	0.0	1.0
GO:0005604	3.0	1.0
GO:0005605	1.0	0.0
GO:0005615	27.0	13.0
GO:0005618	7.0	0.0
GO:0005622	23.0	6.0
GO:0005623	4.0	1.0
GO:0005634	131.0	34.0
GO:0005635	6.0	1.0
GO:0005640	1.0	0.0
GO:0005643	2.0	0.0
GO:0005652	0.0	1.0
GO:0005654	34.0	5.0
GO:0005657	1.0	0.0
GO:0005662	2.0	0.0
GO:0005663	1.0	0.0
GO:0005664	1.0	0.0
GO:0005666	1.0	0.0
GO:0005667	3.0	1.0
GO:0005671	1.0	0.0
GO:0005680	1.0	0.0
GO:0005681	10.0	2.0
GO:0005684	3.0	0.0
GO:0005685	2.0	0.0
GO:0005687	1.0	0.0
GO:0005688	1.0	0.0
GO:0005694	24.0	3.0
GO:0005700	3.0	2.0
GO:0005703	6.0	2.0
GO:0005705	1.0	1.0
GO:0005720	1.0	0.0
